conversation_id,turn_no,utterance,new_agent_reply,qween Single Response,PPL,BLEU-2,BERTScore-F1,Distinct-2,ROUGE-1
1,1,Hi! I really like your Beach Resort package. Can you please tell me the price?,"This package is available at a very affordable price of $7,000, which is quite reasonable for any tourist.","The Beach Resort package is $2,999 per person, including 7 nights in a 5-star resort, round-trip flights, daily meals, and select activities. Limited availability—would you like me to check dates or add extras like spa credits?",1.0,0.049,0.511,1.0,0.169
1,3,Can you provide me the exact price of the package?,"The package will cost you $21,900.","The exact price for the Beach Resort package is **$7,000** per person, all-inclusive (accommodation, meals, and activities). Let me know if you'd like to proceed! 😊",1.0,0.018,0.51,1.0,0.171
1,5,What facilities are available at the Beach Resort?,"This package will give you a true beachfront vibe and offers a wide range of amenities like Scuba Diving, Beach Games, Jet Skiing, Kids Club, Beachfront Lounging, and Scooter Rentals, creating the perfect vacation experience for you.","The Beach Resort offers a private beach, infinity pool, spa with massage services, 3 on-site restaurants, complimentary WiFi, and room amenities like AC and ocean-view balconies. All-inclusive packages may also cover activities like snorkeling or guided tours. Let me know if you'd like more details!",1.0,0.084,0.582,1.0,0.233
1,7,I don??ª?t want to experience beach games. Please remove the Beach Games amenity.,"Sure, we can remove the Beach Games service, and then we can offer you a better budget option with a beachfront lounging service. The total package will cost you only $21,900.","Sure, we can remove Beach Games from your package. The adjusted price will be $21,000. Let me know if you need any other modifications!",1.0,0.191,0.659,1.0,0.386
1,9,"Okay, I would like to remove the Beach Games service.",Thanks for your confirmation; we are removing Beach Games as a service.,"Your request to remove the Beach Games service has been processed. The total package price remains **$21,900**. Enjoy the other amenities like beachfront lounging, scuba diving, and more! Let me know if you need further adjustments. 😊",1.0,0.039,0.493,1.0,0.204
1,11,I would like to go for Scuba Diving. Please add Scuba Diving to the package.,"Sure, I??ª?ll add Scuba Diving to your package. The total tour cost is now $23,200.","Scuba Diving is already included in your package. If you'd like to confirm or enhance this activity (e.g., additional sessions), let me know! Total cost remains **$21,900**.",1.0,0.141,0.596,1.0,0.34
1,13,"Okay, I??ª?ll go for the package at $23,200.","Considering the package with beachfront lounging, this package will now cost $24,400, as it includes everything to make your holidays thrilling and enjoyable.","Your package is confirmed at $23,200, including Scuba Diving, Jet Skiing, Kids Club, Beachfront Lounging, and Scooter Rentals. Payment confirmation will follow shortly. Enjoy your dream vacation! 🌴",1.0,0.023,0.602,1.0,0.308
1,15,"It would be great if you could offer me a concession. I can only pay up to $18,100.","This package has everything to provide you with a thrilling beach experience. Please reconsider your budget, as the actual price is $23,200.","Agent: I'm sorry, but the minimum price for the adjusted package is $21,900. We can't offer a concession below this amount. Would you like to explore other options within this budget?",1.0,0.027,0.571,1.0,0.316
1,17,"Okay, I would like to add Treehouse as an amenity.",Thank you for confirming. We are adding Treehouse as an amenity.,"Sure, I'll add the Treehouse amenity to your package. The total cost will now be $24,400. Let me know if you'd like to adjust anything else!",1.0,0.012,0.526,1.0,0.15
1,19,I??ª?ll accept the deal now.,Thank you so much for your trust! We hope you enjoy the tour package. Please feel free to reach out if you need any further assistance. Have a wonderful trip!,"Agent: Great! Your final package includes Scuba Diving, Treehouse, Beachfront Lounging, and all other amenities. The total cost is **$24,400**. Your booking is confirmed!",1.0,0.0,0.44,1.0,0.109
2,1,Hey! I want to buy this Cultural Tour package. What will be the cost?,"This package offers great services like Accommodation, Transportation, Meals, and Guided City Tours.","Could you share the destination, tour duration, and group size? This helps provide an accurate cost.",1.0,0.029,0.523,1.0,0.207
2,3,I would like to do some crafts. Please add a Crafts Workshop to the package.,"Thanks for confirming. After adding the Crafts Workshop amenity, the final tour cost is $16,400.","Sure! Adding a Crafts Workshop will cost an extra $50 per person. Would you like to proceed with this addition? Let me know if you'd prefer specific craft options (e.g., pottery, weaving).",1.0,0.055,0.505,1.0,0.16
2,5,I do not need a cooking experience with my tour. Please remove it from the package.,"No problem. Instead, I recommend an alternative option: a Cultural Shopping Excursion. This will fit within your proposed budget and enhance your tour experience.","Understood. After removing the cooking experience, the updated tour cost is $16,000. Let me know if you need further adjustments!",1.0,0.013,0.525,1.0,0.089
2,7,"Okay, I would like to add the Cultural Shopping Excursion.",Thank you for confirming. We are adding the Cultural Shopping Excursion as an amenity.,"Sure! Adding the Cultural Shopping Excursion to your package. Your updated total cost remains $16,400. Let me know if you need further adjustments!",1.0,0.172,0.561,1.0,0.316
2,9,"I want this package, but I cannot increase my budget.","This experience is truly worth it. The updated price will be $18,000, which includes everything you requested. I assure you it's a great value for your budget.","Agent: Your updated package with the Cultural Shopping Excursion included still totals $16,400. No budget increase is needed. Would you like to proceed with this final confirmation?",1.0,0.021,0.565,1.0,0.281
2,11,"That's beyond my budget. I can't go higher than $13,000. Sorry, but can you lower the price?","This package offers the best services in the locality. If you compare the cost with similar services, our rate of $16,000 is competitive.","Agent: I understand. To stay within your $13,000 budget, we can remove the Crafts Workshop and Cultural Shopping Excursion. This will revert the package to its base price of $13,000, including Accommodation, Transportation, Meals, and Guided City Tours. Let me know if this works for you!",1.0,0.016,0.536,1.0,0.222
2,13,"Okay, I do not want to add any extra service.",No problem; we have removed the additional service from your package.,"Thank you for clarifying. The base Cultural Tour package, without any additional services, is priced at $13,000. This includes accommodation, transportation, meals, and guided city tours. Is this acceptable for your booking?",1.0,0.014,0.481,1.0,0.227
2,15,What type of accommodations are available in the Cultural Tour package?,"This package provides excellent accommodations, transportation, meals, and city tours. You??ª?ll experience unique culture through guided city walks, culinary experiences, crafts workshops, city tour extensions, and a cultural shopping excursion.","The Cultural Tour package includes **3-star hotel accommodations** with daily breakfast. For an upgrade to 4-star or boutique lodging, additional costs may apply. The base package remains at $16,000 as previously discussed. Let me know if you'd like to explore options!",1.0,0.008,0.517,1.0,0.132
2,17,"I??ª?m willing to go a bit higher because of the added amenities, but I cannot exceed $13,000.","Consider the adventurous experience this package offers for you and your family. We can provide an accommodation option at a total cost of $12,000, which is well worth the price.","Agent: I understand. Let me check the options again. The base package (without added amenities) is $13,000. If you’d like to include some upgrades within this budget, we can explore limited enhancements. Would you like to prioritize specific amenities?",1.0,0.02,0.548,0.974,0.278
2,19,"I think $13,400 is still a bit high for my budget. Could you please reduce the price to $12,000?","As per your request, if you can increase your budget slightly from $13,000 to $13,700, that would be the best feasible option we can offer.","Agent: I understand your budget constraints. The $12,000 package includes basic accommodations and core services (transportation, meals, city tours). We can’t reduce further without compromising the experience. Would you like to proceed with the $12,000 option?",1.0,0.063,0.545,1.0,0.303
2,21,"Sorry, I cannot go up to $16,000 for the package. $13,700 is the maximum I can offer. I hope you understand.","Thank you for your time. Unfortunately, we cannot reduce the price further. We hope you find an option that works well for you.","We respect your budget constraints. At $13,700, we can finalize the package with the following: accommodation, transportation, meals, guided city tours, crafts workshop, and cultural shopping excursion. This excludes optional upgrades like premium lodging or extended excursions. Would this revised $13,700 version work for you?",1.0,0.016,0.478,1.0,0.229
3,1,Hi! I am interested. Can you tell me the package price of the Cultural Heritage Tour?,"Sure! This package will bring you closer to your desires and leave you with lifetime memories. You can get this beautiful package for just $48,000.","The Cultural Heritage Tour is a 7-day package priced at $1,299 per person, including accommodations, guided tours, meals, and transportation. An early booking discount of $100 applies if reserved within the next two weeks. Would you like details on dates or assistance with booking?",1.0,0.015,0.467,1.0,0.111
3,3,"Please remove the language interpreter services, as I already have someone with interpreter skills.","That's fine if you want to remove the language interpreter services. As an alternative, I would recommend adding a souvenir shopping service, which would bring the tour cost down to $21,500.","The revised package price without language interpreter services is $46,000. All other inclusions remain unchanged. Let me know if you need further adjustments!",1.0,0.089,0.569,1.0,0.211
3,5,"No, I am not interested in the souvenir shopping service.",Thanks for confirming. We are removing the souvenir shopping service from your package.,"Understood. Your updated package price, without the interpreter or souvenir service, is $28,000. Let me know if you'd like to proceed!",1.0,0.022,0.555,1.0,0.278
3,7,"I want to learn the culture and language, so please add the interpreter service back.","Sure, I will add the language interpreter services. The final tour cost is $21,500.","Agent: Understood. Adding the interpreter service back will return the package price to $48,000. Would you like to proceed with this adjustment?",1.0,0.025,0.596,1.0,0.263
3,9,"Yes, we can go for it.","Great! Sir, would you like to try art and craft workshops? Adding it will keep the cost at only $21,500.","Great! Your Cultural Heritage Tour package with interpreter services is confirmed at $21,500. Let me know if you need further assistance!",1.0,0.031,0.574,1.0,0.233
3,11,"Okay, I would like to add the art and craft workshops.",Thank you for confirming. We are adding the art and craft workshops to your tour package.,"Great! The art and craft workshops have been added to your package at no extra cost. Your total remains $21,500. Is there anything else you'd like to adjust, or would you like to proceed with booking?",1.0,0.149,0.59,0.971,0.37
3,13,That??ª?s okay.,Thank you for your confirmation. It??ª?s been a pleasure discussing this with you. Let??ª?s close the deal and finalize the arrangements!,"Agent: Great! Your final package includes interpreter services and art & craft workshops at $21,500. Is there anything else I can assist you with?",1.0,0.019,0.395,1.0,0.213
4,1,"Hi, I need to plan a budget-friendly trip. Can you tell me the pricing of the Family Adventure Expedition: Fun for Everyone?","Sir, this package offers great value amenities, including Family-Friendly Excursions and Sightseeing Tours, Children's Activity Programs, and Supervision.","The **Family Adventure Expedition** costs **$450 per adult** and **$350 per child** (ages 5–12). It includes guided hikes, wildlife tours, and a 3-day camp with meals. Optional add-ons like a photography workshop ($50/person) or local market tour ($30/person) are available. Early booking discounts (10% off) and group discounts (5% for 4+ travelers) apply. Let me know your dates!",1.0,0.008,0.531,1.0,0.12
4,3,"I am already paying too much for a tour package. Please close the deal at $6,900.","Sorry, sir. I need to inform you that it??ª?s not possible for us to provide this package within that price range.","Agent: Sir, the Family Adventure Expedition is priced at $7,500. However, I can offer a 10% discount to meet your budget of $6,900. Would you like to proceed with this adjusted rate?",1.0,0.022,0.448,1.0,0.25
4,5,"You mentioned a tour package that includes activities like a white-water rafting expedition, zip-lining, and an aerial adventure course. If you can??ª?t offer a deal at $6,900, I will look for options elsewhere.","Sir, please consider adding Family-Friendly Excursions and Sightseeing Tours. With this amenity, the tour cost will be only $8,100.","I understand your budget concerns. While the Family Adventure Expedition starts at $7,500 (including all mentioned activities and expert supervision), I can explore discounted rates for extended stays or suggest a streamlined ""Adventure Core"" package at $6,200 with key activities. Would either option work?",1.0,0.01,0.553,1.0,0.119
4,7,"Okay, I would like to add family-friendly activities to my package.",Thank you for confirming. We are adding the family-friendly activities to your package.,"Great! Your updated package with family-friendly activities, including white-water rafting, zip-lining, aerial adventure course, and guided sightseeing tours, is now priced at $8,100. This includes supervision and children’s programs. Would you like to proceed or adjust anything else?",1.0,0.015,0.534,1.0,0.246
4,9,"That??ª?s fine, but I cannot increase my budget further due to personal reasons.",Thank you for your patience. Here are the final details of your deal. We look forward to making this a memorable trip for you and your family. Thank you for choosing us!,"Understood. Let me check if we can adjust the package to fit your $6,900 budget while retaining key activities. Stand by.",1.0,0.016,0.45,1.0,0.148
5,1,What are the local customs included in the Festive Splendor: A Celebration Tour?,"This package offers a range of amenities, including Traditional Costume Dress-up and Photoshoot, Cultural Workshops and Demonstrations, Souvenir Shopping Assistance, Local customs assistance, and a Karaoke Party for an adventurous experience.","The Festive Splendor tour includes vibrant local customs such as traditional dance performances, participation in seasonal harvest rituals, and hands-on workshops for crafting regional arts. You’ll also experience local markets, festive feasts with traditional dishes, and storytelling sessions with community elders. Let me know if you’d like specifics!",1.0,0.013,0.59,1.0,0.217
5,3,How much does this package cost?,"The package will cost you $11,400.","The Festive Splendor package starts at $299 per person, covering all listed activities, accommodations, and local guides. Prices vary slightly by season. Group discounts or early bookings may apply—let me know if you’d like a tailored quote!",1.0,0.012,0.473,1.0,0.13
5,5,I cannot afford that much. Can I get it within my budget at this price?,"This package includes everything for a thrilling experience in Bali, and it is well worth the price.","I understand the price may be a concern. Let me check if we can adjust the package—shorten the duration, simplify accommodations, or exclude optional activities like the Karaoke Party to better fit your budget. Could you share your preferred range?",1.0,0.011,0.451,1.0,0.138
5,7,What accommodation options do we have in the Festive Splendor: A Celebration Tour?,"The package includes accommodation, transportation, meals, and access to festival events.","The Festive Splendor tour includes stays at luxury resorts or boutique hotels in Bali, with some options featuring traditional Balinese villas. All accommodations are 4–5 star-rated and included in the $11,400 package.",1.0,0.017,0.502,1.0,0.261
5,9,I??ª?d like to have my wife dress up in a traditional costume and get a photo with her in the outfit.,"So, you??ª?d like to add Traditional Costume Dress-up and Photoshoot as an amenity to your package?","That’s a wonderful idea! The Traditional Costume Dress-up and Photoshoot is a highlight of the tour, and it’s already included in the package. Your wife will enjoy a professional photoshoot in authentic local attire, making for a memorable keepsake. Let me know if you’d like to add any special arrangements!",1.0,0.14,0.585,1.0,0.361
5,11,I will think about adding this amenity.,"Considering your request, we can offer a concession, bringing the package cost to $12,000.",Let me know if you'd like help adjusting the package to better fit your budget while keeping the costume experience. I’m here to help!,1.0,0.085,0.467,1.0,0.195
5,13,"I cannot go any higher than $9,100. Can you provide any further concession?","You can travel around the area by prime sedan or bus, which covers the entire itinerary. Please reconsider your budget.","We can adjust the package by removing the Karaoke Party and upgrading accommodations to a 3-star hotel, reducing the cost to $9,500. Would you like to explore this revised option?",1.0,0.021,0.509,1.0,0.192
5,15,I do not need the photoshoot since we are taking our own selfies. Please remove Traditional Costume Dress-up.,"I understand you don??ª?t want the Traditional Costume Dress-up. As an alternative, I would recommend adding Souvenir Shopping Assistance, which would bring the package cost to just $11,600.","Understood. Removing the Traditional Costume Dress-up and Photoshoot, the revised package cost is $9,500. Would you like to proceed with this adjusted budget option?",1.0,0.177,0.609,1.0,0.386
5,17,"No, I am not interested in adding souvenirs.",Understood. We are removing the souvenir shopping service.,"The base package without the dress-up or souvenirs is $11,400. We can’t reduce it further, but we can adjust amenities. Would you consider upgrading to a lower-tier accommodation or adjusting transportation to stay within $9,100?",1.0,0.013,0.492,1.0,0.125
5,19,"I think this is still a bit high. My budget is up to $8,000.","We cannot provide this package for under $8,000, but we have a similar package option within that price range.","I understand your budget constraint. Unfortunately, the package's base cost is $9,800, and further reductions may require significant itinerary adjustments. Let me know if you'd like to explore alternative options within your budget.",1.0,0.01,0.537,1.0,0.107
5,21,"That??ª?s a tight budget option, but let??ª?s proceed with this package.",Thank you for your understanding. We will finalize the package at this price point. We hope you enjoy your upcoming celebration tour!,"Understood. We’ll proceed with the Festive Splendor package at $11,400 (excluding the photoshoot and souvenirs). Please confirm your booking details, and we’ll finalize the arrangements.",1.0,0.129,0.579,1.0,0.28
6,1,Hey! I want to buy this package. What will be the cost of the Wildlife Tours?,"The package is available at a rate of $45,000. It offers amenities like Bush Walks with Bushmen, Hot Air Balloon Safari, Boat Tours for spotting aquatic wildlife, educational presentations, photography workshops, and expert guides.","Could you please specify the destination, tour duration, and any specific inclusions (e.g., guided safaris, accommodation type) you're interested in? This will help me provide an accurate cost.",0.0,0.009,0.48,1.0,0.154
6,3,"I??ª?d like to spend time in the bush. Please add the amenity ""Bush Walks with Bushmen"" to the package.","Sure, we can add it. After adding the amenity ""Bush Walks with Bushmen,"" the package cost is $21,200.","The ""Bush Walks with Bushmen"" activity is already included in the $45,000 package. No additional cost is required. Let me know if you'd like to proceed!",1.0,0.166,0.622,1.0,0.383
6,5,I can't afford to take the photography workshops. Please remove that amenity from the package.,"If you cannot afford more, we respect your budget. I recommend a better budget option with the activity ""Educational Presentations,"" which will make the whole package cost only $21,200.","Sure, we can remove the photography workshops. The updated package cost is $18,900.",1.0,0.047,0.615,1.0,0.227
6,7,"No, thank you. I am not interested in Educational Presentations.","Thanks for confirming; we are removing the Educational Presentations amenity. This is a beautiful tour package covering all your requirements for a mesmerizing experience, but I cannot go below $20,200.","Understood. Removing both Photography Workshops and Educational Presentations. The final package cost remains $21,200, including Bush Walks with Bushmen, Hot Air Balloon Safari, Boat Tours, and expert guides. Let me know if you need further adjustments!",1.0,0.013,0.555,1.0,0.206
6,9,"I can??ª?t go above $14,900. Can we meet in the middle? I??ª?ll offer $15,300.","I??ª?m sorry, but $15,300 is below our limit. This price is quite reasonable, given the amenities.","I’m sorry, but $20,200 is the minimum cost for this package due to operational requirements. We can’t adjust further. If this budget isn’t feasible, we’d need to explore alternative packages or travel dates. Let me know!",1.0,0.056,0.597,1.0,0.237
6,11,The price seems high. Can you offer any concession?,"For a concession, we could bring the entire package price down to $16,500.","I understand your concern, but the current package minimum is $20,200 due to operational costs and included experiences. For a lower budget, we can explore a simplified version with fewer amenities or consider alternative wildlife destinations with more affordable options. Let me know how you’d like to proceed!",1.0,0.052,0.54,1.0,0.188
6,13,"I cannot go much higher than $15,300.","Unfortunately, we cannot go lower than $16,500. I hope you understand. Thank you for considering this package with us.","I'm sorry, but $16,500 is our lowest possible offer for this package. We can't adjust further without removing core amenities like the Hot Air Balloon Safari or Boat Tours. Would you like to explore a different package tailored to a lower budget?",1.0,0.017,0.579,1.0,0.277
7,1,How are meals provided in this Wildlife Safari package?,We provide luxurious accommodations and the best safari vehicles to ensure top-notch service and enjoyment for our customers.,"The Wildlife Safari package includes all meals – breakfast, lunch, and dinner – served at the lodge or camp. Picnic lunches are provided for game drives. Dietary preferences can be accommodated with advance notice. Would you like to confirm any specific meal arrangements?",1.0,0.015,0.467,1.0,0.233
7,3,"I don??ª?t need a guide, as it feels boring to walk with one without animals around.","That's fine if you don??ª?t want a guide. As an alternative, we recommend the option for binocular rentals, which would make the package cost $29,200.","Our guides are trained to enhance your experience beyond animal sightings—they ensure safety, share ecological insights, and help you navigate terrain efficiently. Even without animals, their expertise enriches your journey. Let me know if adjustments can be made!",1.0,0.012,0.424,1.0,0.09
7,5,"Ok, I would like to add binocular rentals.",Thanks for confirming; we are adding binocular rentals as an amenity.,"Great choice! Binocular rentals are added, making the total package $29,200. Let me know if you need anything else!",1.0,0.024,0.561,1.0,0.258
7,7,"I cannot go above $24,400, so let??ª?s close this deal.","If that??ª?s your budget, then please go ahead with it.","Agent: Understood. We’ll remove the binocular rental add-on to keep the total at $24,400. Your Wildlife Safari package is confirmed without this upgrade. Let me know if you need further adjustments!",1.0,0.0,0.391,1.0,0.089
7,9,"Alright, I??ª?d like to explore the next option.","Thank you for your patience. We??ª?re adding the next option, please hold on.","Sure! Let me know which option you're interested in, and I'll adjust the details for you.",1.0,0.029,0.433,1.0,0.313
7,11,"We have another option available. Could we make a deal at $25,300?","Your budget is quite low, but I can offer a reduced price of $28,800.","Agent: We can adjust the package. At $25,300, we’ll exclude the guide and binoculars but retain core safari experiences. Would this work for you?",1.0,0.019,0.534,1.0,0.098
7,13,"That??ª?s still too high for me; I can??ª?t go above $25,300.","Great, let's finalize the package agreement at $25,300. Thank you for your time!","I understand your budget constraints. While we can't adjust below $25,300, I can propose a simplified package with base accommodations, binoculars, and a 2-day safari drive at $25,300. Would that work?",1.0,0.066,0.554,1.0,0.2
8,1,Hey! I want to buy this package. What is the cost of the Culinary Tour?,"Hello, Sir. This package costs $14,000 and includes some amazing amenities like a visit to the Spice Garden and the Farm-to-Table Experience.","The Culinary Tour package is **$1,200 per person**, including guided tastings, cooking classes, and 3 meals daily. A $300 deposit is required to reserve your spot. Would you like to proceed with booking?",1.0,0.019,0.493,1.0,0.271
8,3,I don??ª?t want the Farm-to-Table Experience; please remove it from my package.,"Sure, we can remove the Farm-to-Table Experience. As an alternative, I would recommend the Spice Garden Visit, which would make the tour cost only $12,500.","The revised package without the Farm-to-Table Experience will cost $12,000. It will still include the Spice Garden visit and other amenities. Would you like to proceed with this adjustment?",1.0,0.149,0.676,1.0,0.433
8,5,"Okay, I would like to add the Spice Garden Visit as an amenity.",Thank you for confirming. We are adding the Spice Garden Visit as an amenity.,"The Spice Garden Visit is already included in your updated package at $12,500. Would you like to proceed with this arrangement?",1.0,0.138,0.536,1.0,0.278
8,7,I love trying different foods. Please add the Foodie Walking Tour to the package.,"Sorry, sir. The Foodie Walking Tour isn??ª?t included in this package, but you can add it for an additional $1,300.","Certainly! Adding the Foodie Walking Tour will bring your total package cost to $13,000. Would you like to proceed with this update?",1.0,0.147,0.596,1.0,0.311
8,9,"No, last time I didn??ª?t have this Foodie Walking Tour, and I have a budget of only $11,000. I can??ª?t go above that.","Sir, I can offer the package at $12,500.","Understood, sir. Let me adjust your package. The current total without the Foodie Walking Tour is $12,500. To meet your $11,000 budget, we can remove the Spice Garden Visit (reducing the cost by $1,500) and exclude other optional add-ons. Your final package would then be $11,000. Would that work?",1.0,0.013,0.6,1.0,0.19
8,11,This pricing seems a bit high for my budget. Could you explain how the cost is being calculated?,"Thank you for considering our package. Let's finalize the details, and we??ª?ll proceed with the agreement.","The $12,500 includes the base package (accommodation, meals, and standard activities) plus the Spice Garden Visit. Removing the Farm-to-Table Experience reduces the cost from $14,000 to $12,500. Unfortunately, we cannot reduce it further while maintaining the package’s quality. Let me know if adjustments are possible!",1.0,0.012,0.435,1.0,0.203
9,1,"Hi, I am interested! Could you tell me about this package? What will be the package price for this tour?","The Wildlife Tours package offers amenities like Accommodation, Transportation, Meals, Guided Nature Walks, and Wildlife Encounters.","Could you clarify which tour package you're referring to? Prices vary based on destination, duration, and inclusions. Let me know so I can provide accurate details!",1.0,0.018,0.468,1.0,0.14
9,3,"I like bush walks, please add Bush Walks with Bushmen in the package.","Okay, sir, I appreciate your choice. The final cost with the Bush Walks with Bushmen added is $21,200.","Certainly! We can customize the package to include a **Bush Walk with Bushmen**, offering an immersive cultural and nature experience led by local guides. This addition will enhance your adventure with storytelling, survival skills, and deeper wildlife insights.  

Would you like me to provide a revised price for this upgraded package?",1.0,0.013,0.508,1.0,0.2
9,5,Can you tell me more about the included amenities in the Wildlife Tours?,"Sir, the package includes amenities like Bush Walks with Bushmen, Hot Air Balloon Safari, Boat Tour for spotting Aquatic Wildlife, and Educational Presentations, providing a thrilling and adventurous experience.","The Wildlife Tours package includes:  
- **Accommodation**: Eco-friendly lodges or tents in prime wildlife areas.  
- **Transportation**: Airport transfers and 4x4 safari vehicles for game drives.  
- **Meals**: 3 meals daily, with local cuisine and dietary options.  
- **Guided Nature Walks**: Expert-led hikes to explore flora, fauna, and ecosystems.  
- **Wildlife Encounters**: Game drives, animal tracking, and night safaris.  
- **Bush Walks with Bushmen**: Cultural immersion with indigenous guides, teaching survival skills and tracking.  

All amenities are included in the $21,200 final cost. Let me know if you need further details!",1.0,0.031,0.528,1.0,0.239
9,7,"I have seen your package, and I can only afford this amount.","Sir, that is too low. I can offer you the package for $20,300.","Understood, sir. Let me check if we can adjust the package to fit your budget. Could you share the amount you’re comfortable with? I’ll tailor options for you.",1.0,0.081,0.545,1.0,0.318
9,9,"Okay, please proceed and close this deal.",This package is perfect for people who love adventurous wildlife experiences.,"Great! The package is confirmed at $20,300. Could you share your full name, contact details, and preferred payment method for processing? I’ll send the confirmation and itinerary shortly.",1.0,0.063,0.429,1.0,0.146
9,11,"No, I am not interested in this tour.","Okay, it was a pleasure conversing with you.","Understood, sir. If you change your mind or need assistance with other options, feel free to reach out. Have a great day!",1.0,0.021,0.378,1.0,0.2
9,13,"Great, let??ª?s close the deal at $14,700.","Sir, we cannot go down to $14,700. Let??ª?s meet in the middle. I can offer you the package for $19,600.","I'm sorry, but $20,300 is the lowest possible price for this package. We can't proceed below that amount. Are you still interested in finalizing the booking at this price?",1.0,0.025,0.567,1.0,0.327
9,15,"$19,000 is too high. Can we meet in the middle? Sorry, we cannot afford that price. Could you reduce it to $18,000?","This package includes all the adventurous experiences in nature. We can lower it to $18,600 because you've chosen budget options for accommodation, transportation, and meals.","Agent: I'm sorry, but $18,000 is below our minimum offering. The lowest I can adjust is $19,000. Let me know if this works for you.",1.0,0.018,0.537,1.0,0.218
9,17,"I can take $15,300. Does your package include all the adventurous experiences in nature? If so, can we close the deal?","Sorry, sir, we cannot provide the package at such a low budget.","The package includes all adventurous experiences in nature. However, $15,300 is too low. Our minimum offer with budget options is $18,600. Let me know if you’d like to proceed!",1.0,0.011,0.474,1.0,0.182
