conversation_id,turn_no,utterance,new_agent_reply,Gemma Single Response
38,13,"I want this package but I cannot increase my budget, let's close this deal in $16000.","Sorry sir, we cannot go that low down, but we can provide you a better option in the same budget.","I understand. Unfortunately, with the guidebook included, $16000 is not possible."
39,1,Could you tell me about accommodation included in the Cruise Package?,"Yes sir, this package will be offering a range of amenities like Kids game room, Themed Parties, Snorkeling Adventure, Casino, Fine Dining Restaurants.",Certainly! The cruise package includes accommodation in a standard cabin.
39,3,What about transportation facility in the Cruise Package?,The package offers luxurious and comfortable transportation.,Round-trip airfare and airport transfers are included.
39,5,I don't like Snorkeling Adventure.,"You cannot afford more than $0, we respect your budget, therefore we will recommend you this better budget option, that is the casino, by which the whole package will cost you only $23500.","Okay, no problem."
39,7,"Ok, I would like to add the casino as a service.","Thanks for your consent, we are adding the casino as a service.",Great choice! Adding the casino to your package. The total cost will be $23500.
39,9,What are the package prices?,The package will cost you $23800.,The package price is $23500.
39,11,"Sorry, this package is not within my budget, my budget is $20600. Can we not have a deal at this price?","Sir, I would like to recommend the amenity Kids game room, which will make the tour package cost only $23800. Would you like to?",Let me see what I can do.
39,13,I do not like the kids game room.,"Thanks for your consent, we are removing the amenity game room.",I understand. Let's explore other options within your $20600 budget.
39,15,"The game room is important for me, if you include it, I will book your package.","Sorry for the delayed reply, let's close the deal.","Okay, let's include the game room. The package will cost $23800. Shall we proceed with the booking?"
40,1,"Hi!, what is the price of this package?",This package is for $18000 and we will provide you.,It depends on the package details. Could you please specify which package you're referring to?
40,3,"I like to watch birds, please add Birdwatching tool in the package.","Ok, thanks for adding the amenity Birdwatching Opportunities, the final tour cost is $29900.","Okay, I'll add a birdwatching tool to the package for an additional $500."
40,5,"So for the updated amenity, let's close the deal at $23100.","We can do it with the updated amenities: Binoculars rental, Camera rental, Walking safari guide, but will you increase your budget?","Okay, $23100 it is."
40,7,"I have to say no, I cannot bring my budget above $23100.","Sorry, we cannot go down to $23100. Let's meet in the middle, sir, we can provide you this package at $28700.","Okay, let's proceed with the $23100 package."
40,9,"I cannot afford $28700, what do you say for $23900?","This package will give you the thrill of wildlife viewing experience, and by this, you will enjoy your leisure time. Since the actual price is $28700.",Let's stick with $23900.
40,11,"Yes, I am interested in this package.","Thanks for your consent, we have added the package.",Great! Let’s finalize the booking then.
40,13,"Thank you, you have added the package?","Sir, should I recommend this amenity or not?",Great! Let's confirm the details.
40,15,"Yes, I would like to add the Lodge as a service.","Thanks for your consent, we are adding the Lodge as a service.","Okay, Lodge added. Final price is $29,900."
40,17,"Well, it is better, I will go for this package at $25000.",I agree with the terms and conditions to buy this tour package.,"Okay, $25000 it is."
41,1,"Hello, I want to buy this package, What is the cost?","Sir, This package includes some great amenities like Scuba Diving, Beach Games, Jet Skiing, Kids club, Beachfront Lounging, and Scooter rentals which will make your holiday memorable and fun.",It’s $1500 for the package.
41,3,"It's great, let's close this deal at $15900.","Considering I can't compromise on the experience, I can offer you a discount up to $12000.","Okay, $15900 it is. Shall I proceed with the booking?"
41,5,"Sorry sir, $16500 is the max I have in my wallet, please let me buy with this budget and this price.","This package has every amenity that can give you an adventurous experience, so please reconsider your budget, I can provide you this package for $16500.","Okay, let’s see what we can do with $16500."
41,7,I think I already have everything which will be needed for this tour.,"Thanks for your consent, we are removing all the services, amenities, and equipment which were mentioned in previous utterances.","Okay, let's proceed with $16500 then."
41,9,"As you mention we are removing all the things, can we go as far as $16200?","Let's remove all the things, Sir, it will cost you $21000. (shows the offer document)","Yes, we can do that."
41,11,"I do not need to play Beach games, please remove the amenity Beach Games.","It's fine if you want to remove the amenity Beach Games, but as an option, we will recommend Beachfront Lounging, which will make the tour cost $21000.","Okay, let's remove Beach Games. The price is now $20800."
41,13,"Oh, thanks.","Thanks for your consent, we are adding the amenity Binocular rental.",You're welcome! How can I help you further?
41,15,"Thanks, I don't want something that I can only use once.","I know you want to make your stay in the Maldives memorable. You can choose this package, which costs $20000.","Okay, removing Binocular rental."
41,17,"Sorry, I need something very reasonable in $20000, let's go with $16900.","The package we have provided you has everything that can fulfill your needs in a way, so please consider increasing the budget to $20900.","Okay, let’s see what we can do. How about $17500?"
41,19,"I like to explore the depth of the sea, please add Scuba Diving in the package.","Sir, We cannot reduce the amount for this package, thank you for your time.","Okay, adding Scuba Diving. The package now costs $20900."
42,1,What does Beach Resort offer in scooter rental?,"Sir, This package offers scooter rentals for spot switching and many other facilities to make you feel like you're in Paradise.","We offer a variety of scooter rentals, from standard models to larger touring scooters. Prices start at $50 per day."
42,3,"I don't like this type of tour, please remove Scuba diving from the package.","You cannot afford more than $21900, we respect your budget, therefore we will recommend a better budget option for accommodation, that is Beachfront Lounging, which will make the whole package cost $21900.","Okay, I’ve removed scuba diving from the package."
42,5,"Yes, sounds good.","Thanks for your consent, we are adding the service Binocular rental.",Great! Let's finalize the Beachfront Lounging package for you.
42,7,"I like diving, please add Scuba Diving in the package.","Ok, thanks, the cost of the Scuba Diving tour is $23200.","Okay, we’ll add Scuba Diving back into the package."
42,9,"I can afford $23200 for the Scuba Diving tour only, please show me the offer again with this budget?","We have a package that fits your budget, let me show you the details.","Okay, here’s the revised offer with a budget of $23,200 for the Scuba Diving tour:"
42,11,"I am in for $9000, I want the lowest rates or better services.","We got a good conversation, let's close the deal and you will enjoy the tour package.","Okay, let’s see what we can do within your $9000 budget. Here’s a revised package: [Details of revised package]"
43,1,"Hey!, I want to buy this package, what will be the cost of Majestic Mountains Retreat?","Sir, it provides you a range of amenities like Camping equipment rental, Local guides, Hot Springs, Relaxation, Cultural Village Visit, Adventure activities. You need to pay $42000 only for this package which is a very budget price.","It's $2,500 per person."
43,3,Could you please tell me what kind of Accommodation we have in Adventure Trekking Expedition?,"As per package, you will get a luxurious beachfront resort for accommodation which is beautifully designed to make your stay comfortable and fulfilled with amiable services.",We offer comfortable tents with attached washrooms and dining facilities.
43,5,"Hey, I want to know the price of the tour package.",The package will cost you $17600.,It depends on the tour package you are interested in. Could you please specify which package you'd like to know the price for?
43,7,What about Meals in Adventure Trekking Expedition?,"This package is offering services which include Accommodation, Transportation, Meals, Guided Treks, Camping equipment rental, Local guides, Hot Springs, Relaxation, Cultural Village Visit, and Adventure activities.","Breakfast, lunch, and dinner are included."
43,9,"I would like to remove the adventure activities since it is so expensive and I never took an adventure activity, please remove the Adventure activities from the package.","You cannot afford more than $17600, we respect your budget, therefore we will recommend you a better budget option for Accommodation, Transportation, Meals, Guided Treks, and the whole package will cost you only $17600.","Okay, I’ll remove the adventure activities. The price will be updated."
43,11,"Ok, I would like to add only accommodation and transportation.","Thanks for your consent, we are adding accommodation and transportation as a service.","Okay, let's proceed with accommodation and transportation. The total cost will be $17600."
43,13,Could you tell me what is the transportation service in Adventure Trekking Expedition?,"Sir, this package is offering services which include Accommodation, Transportation, Meals, and Guided Treks.",It includes private car transfers.
43,15,"I prefer to go with a local guide, please add the amenity Local guide.","Yes, I will add Local guide amenity, with that package cost will be $19600 only.","Okay, I’ll add a local guide to the package."
43,17,"Hey, I can't go higher than $19000, let's close this deal in $19000.",$19600 is our final price with the selected amenities. Let me know if you??ª?d like any adjustments.,"Okay, let's proceed with $19000."
43,19,I cannot afford $19600.,"Thanks for your patience, let's close the deal.","Okay, let’s explore options below $19000."
44,1,Tell me Meals included in Mountain Resort package,"This package provides Breakfast, Lunch, and Dinner for your travel, this will make your journey more joyful.",Breakfast and dinner.
44,3,"Let me know the price of the package, please.",The package will cost you $19700.,The Mountain Resort package costs $1500 per person.
44,5,"Sorry sir, I cannot afford this price. Can we meet in the middle of $17200?","Sir, would you like to try the amenity Snowboarding?","Certainly, let's see what we can do."
44,7,No thanks.,"Thanks for your consent, we are removing the amenity Binocular rental.","Okay, let's proceed then."
44,9,Cannot accept this tour package since I don't need amenities which you have removed now.,"Thanks for giving time to us on call, can we close the deal with acceptance?",I understand. Let’s explore alternative packages.
45,1,Could you tell me about our culinary facility in Cultural Tour?,"Sir, we have many great culinary options in a cultural tour like...",Certainly! Our Cultural Tour includes a hands-on cooking class with a local chef.
45,3,"I won't need that, please remove Traditional performance amenity from the package.","As an option, if you want to remove Traditional performance, we can recommend a Cultural Shopping Excursion which makes this tour cost only $15800.","Okay, I’ve removed the traditional performance amenity."
45,5,"Ok, I would like to add Cultural Shopping Excursion.","Thanks for your consent, we are adding Cultural Shopping excursion as an amenity.","Okay, let's add the Cultural Shopping Excursion to your package. The total cost will be $15800."
45,7,"Thanks!! I will accept it, is there any way to arrange for this excursion for just 2 people?","Sorry, we can provide you a complete tour package with a price of $24000 for 6 people.","Yes, absolutely."
45,9,I want this package with the price $12200.,"Cannot deny the exciting experience, we can provide you some similar package for $12500, please reconsider your budget.","Certainly, let me check the possibility of adjusting the package price to $12200 for 6 people."
45,11,"Yes, sounds good.","Thanks for your consent, we are adding Binocular rental as an amenity.",Great! Let’s proceed with the $12500 package then.
45,13,Thanks for the bundle.,"You are the best, I like your deal, thanks.",You're welcome! Is there anything else I can assist you with?
46,1,What about Accommodation in Art and Architecture Discovery: Unveiling Masterpieces?,"This package includes Accommodation, Transportation, Meals, and Art and Architecture Guided Tours.","We offer a range of boutique hotels and charming guesthouses in the area, all within walking distance of the key landmarks."
46,3,"I want to learn creativity too, please add the amenity Art workshops and Creative classes.","Ok, after adding the amenity Art Workshops and Creative Classes, the final cost would be $11700.","Okay, I’ve added Art workshops and Creative classes to your package."
46,5,"I'm sorry, the max limit is $8900.","This package contains many activities that provide a thrilling experience of India's culture, actual price $11700.","Okay, let’s adjust the itinerary to fit your budget."
46,7,"Sorry, we can go up to $9100. Since the package contains many activities and it is best to pay more for them, I hope you will agree?","Sir, we cannot go further than $11200, let's go for $10000 or we can go for a package with fewer activities.","Okay, I can adjust the package to fit your budget of $9100. Let’s proceed."
46,9,"Sir, $9200 is just to fulfill my minimum budget. I have not looked into other options available, but I am open to other packages of lesser price. Can I have some options?","Sure, you can. We can provide you this option for $9500, which is equivalent to $8200.","Okay, let’s explore some options within your budget. Here are a few packages with fewer activities: 1. Heritage Tour - $7800 2. Cultural Immersion - $8500 3. Spiritual Journey - $9000"
46,11,"No thanks, I already had the option which was offered to me.","No thanks, if you don't want to add it, then I will recommend you take out the option we were talking about.","Okay, let's explore other options then."
46,13,"I want this, I will keep it on $9200.","This package will keep you busy with all the activities and amenities you've requested. I highly recommend keeping this offer, it will make your experience memorable.","Okay, let’s proceed with the package at $9200."
46,15,"I will go on a trip only for fun, so please let's close this deal at $9200.",The things you are going to experience are just priceless. We cannot give you the experience you will have with this deal. It is worth $11200.,Great! Let's finalize the booking for $9200 then.
46,17,"Sorry, it is too expensive. Can you give a deal for $8800?","Thank you, Sir, but we can't go lower than this price.",Let's see what we can do. We can offer it for $9000.
47,1,What about transportation facility in Romantic Escape Honeymoon Package?,Transportation for this package is provided by Private Helicopter tour.,We offer private airport transfers and car rentals.
47,3,So how much is this package?,The package will cost you $19000.,"It costs $5,000."
47,5,"This is a bit too high for my budget, I want some concession here in $15800.","You are the couple looking for a honeymoon package. This package has Champagne, chocolate, and a couple's spa, you will never feel bored during your tour, so please go one step ahead and increase the budget.","Certainly, let’s see what we can do."
47,7,"I am not able to increase the budget anymore, so I want to cancel the deal.","Sorry Sir, you should have given us more notice or maybe a budget with fewer passengers. I'm sure we can go down to this budget for you or if you can let us know how you want to do this.","Okay, I understand. Let me process the cancellation for you."
47,9,"I want you to go down to $15800, please tell me how to make this in your budget.","Thanks for your time, hope you will enjoy with this tour package.",Let me check with our team to see if we can adjust the package to fit your budget of $15800. Please wait a moment.
48,1,Do we have camping in Adventure Trekking Expedition?,"Yes, we have camping with this package.","Yes, we do!"
48,3,"Oh! I can go up to $23600, if so then can you give me full itinerary and details?","Package cost is $30800. It can be affordable up to $23600 if you book our package, and you will get everything you want.",Absolutely! Here’s the full itinerary and details: [Itinerary details]
48,5,"I want to experience camping with friends, please add camping gear in the package.","Ok sir, let??ª?s add camping gear for the tour package, finally the tour cost is $39800.","Okay, I’ll add camping gear to the package. Let me check the details and send you the itinerary."
48,7,I can buy this package but I cannot pay more than $32600.,"You know that this package has everything that can provide you with a thrilling experience in the mountain, and for this package, the accommodation is shared, porter service is included in the tour. Now you can easily afford the tour because you don't have to pay extra for accommodation.","Okay, let’s see what we can do. We can adjust the package to fit your budget."
48,9,"I want to travel with my own personal guide, and I want the accommodation to be in a 5* hotel, and I also want a private porter service to carry my packages for me.","Considering your requirements, we can offer you a package for $39800.","Okay, let’s upgrade your package to include a personal guide, 5-star hotel accommodation, and a private porter service. The total cost will be $48,000."
48,11,I want a package that gives me a good experience for $30900.,"Sir, we can't do with $30900, we are offering you a package for $37300 with more activities included.","Okay, let’s see what we have for you around $30900."
48,13,"I do not want to walk on foot in this beautiful tour, please remove the transportation amenity from the package.","You cannot afford more than $0, we respect your budget, therefore we will recommend a better budget option for transportation, which is photography equipment rental. The whole package will cost you only $37300.","Okay, let's remove the transportation amenity. The revised package cost is $37300."
48,15,"Ok, I would like to add the transportation services as Photography equipment rental.","Thank you for your kind consent, We are adding the transportation services to your tour package as Photography equipment rental.","Okay, let's add photography equipment rental to the package. The total cost will be $37300."
48,17,I want to confirm this tour package with this budget.,I can confirm this tour for $36700.,"Okay, let’s confirm the package with your budget of $37300."
48,19,Oh! Ok.,I'm sorry sir but our prices are non-negotiable.,Great! Let's proceed with the booking then.
49,1,"Hey! I want to buy this package, what will be the cost of the Cruise Package?","This package has very unique amenities like Kids game room, Themed Parties, Snorkeling Adventure, Casino, Fine Dining Restaurants, and will cost you $70000.","Okay, let's take a look. The cruise package costs $3,500 per person."
49,3,Could you tell me about accommodations in the Cruise Package?,"We have two types of accommodation: Luxurious suites with Jacuzzis, Panoramic Balconies, and private bars.",Certainly! The cruise package includes luxurious suites with ocean views and private balconies.
49,5,"I like kids to play, please add the Kids game room in the package.","Ok, thanks for adding. After adding the amenity Kids game room, the final cost of the package is $24400.","Okay, I've added the Kids game room to your package. The total cost is now $70000."
49,7,"Okay, but I have a budget of $19200, please let me know if you have any package for this amount?","Sir, I do not have any tour package for this budget, what do you say about this offer?",I have a basic package for $19200 with standard rooms.
49,9,"Sorry, that's too high for my budget, can you check if you have any package that costs less than $19600? If yes, then please let me know immediately what the offer is.",This package has everything that can provide you a thrilling experience in the mountain. Please reconsider your budget. Since the actual price is $24400.,"Certainly, let me check for you."
49,11,"I don't want Snorkeling Adventure, please remove it from the package.","To satisfy your customer, you can remove Snorkeling Adventure from this package, and as an option, we will recommend Casino, which will make this tour cost only $23400.","Okay, removing Snorkeling Adventure. The final cost is $24400."
49,13,"No, I do not like to change that.","Thanks for your consent, we are adding Binocular rental as an amenity.","Okay, let me see what else we have."
49,15,"I've been asking this thing, I want one.",I understand your needs and provide you the best services. We have a luxury cruise ship that provides you luxury and several activities on board. Please consider our budget of $25500.,"Okay, let's get that for you."
49,17,"No, I do not like to go with a cruise ship.",Consent_response,"Okay, let's explore other options then."
49,19,It's too expensive for me.,"Once you are going to experience the luxurious cruise in the sea with onboard activities such as casino, fine dining restaurants, themed parties, and kids game room, you will never regret choosing this package. Please increase your budget to $25000.",I understand. Let's explore other options.
49,21,"I want to enjoy the cruise trip with kids, you are not offering any discount, so I cannot go any higher than $19500.","Sorry sir, we cannot match your expectations and your budget.",I understand. Let me see what I can do. How about this: $18800?
50,1,What do we have for guided tours included in the Historical Architecture Tour?,"The package will take you to historical places of the city, where you can witness historical architecture. This package will provide you a guided tour for exploring all the places.","We offer walking tours, small-group bus tours, and private guided options."
50,3,"I like to visit the virtual world, please add VR experience.","Ok, thanks for adding. After adding the amenity Virtual Reality experiences, the package cost is $25300.","Okay, we can add a VR experience to your tour."
50,5,Could you tell me what are the amenities coming with the Historical Architecture Tour?,"Sir, this package will provide you lots of amenities like Accommodation, Transportation, Meals, Guided Tours, and Architectural Walks which will provide you lots of joy and thrilling experiences.",The Historical Architecture Tour includes guided tours and virtual reality experiences.
50,7,"You are a customer and you are in conversation with the agent, he is describing a tour package with amenities like Meals, Guided Tours, and Architectural Walks, and you're asking for a custom package.",We can provide you a customized package. We can provide you the same amenities that this package offers.,"Okay, let's create a custom package for you. What specific elements would you like to add or change?"
50,9,"No, sorry sir, as per my budget, I can only afford $21400.","The package costs $25000. We are going to provide you the best accommodation, but also the most luxurious car for your city exploration, which will give you an amazing experience. Since the actual price is $25000, please reconsider your budget.","Okay, let’s see what we can do within your budget of $21400."
50,11,No thanks. I don't have a good budget for my tour. I must not go for luxurious things. I am a person of middle class.,"That's alright, we will remove the amenity Binoculars rental from the tour package.","Okay, I understand. Let's focus on a more budget-friendly option."
50,13,"I can go up to $19400, without binoculars I can go with that budget?","Sir, I would like to recommend the amenity Historical guidebook, by which the cost of the tour package will be $25300. Would you like to?","Yes, with $19400, you can go ahead."
50,15,"Ok, I would like to add the Historical guidebook as an amenity.","Thanks for your consent, we are adding the Historical guidebook as an amenity.","Okay, adding the Historical guidebook. The package cost is now $25300."
50,17,"Thank you, can you provide a concession with the package?","Thanks for your time, but we can't close the deal now. We will keep in touch later.",Certainly. The package cost is $25300 with the Historical guidebook. We can offer a 5% discount.
51,1,What kind of accommodation comes with the Wellness Retreat?,"We offer a range of accommodations like Healthy Cuisine, Yoga and Meditation, and many other wellness treatments in the Wellness Retreat.","We offer deluxe rooms, suites, and private villas, all with spa access."
51,3,What is included with meals in the Wellness Retreat?,"The package has different options of meals. You can select your own menu, and the service provider will provide you healthy and vegetarian meals which will help in your weight loss.","Healthy cuisine, yoga, and meditation sessions are included."
51,5,I??ª?ll buy the package for $12700.,"Sorry sir, the package costs $14400.",Excellent choice! I’ll go ahead and book that for you.
51,7,"It??ª?s not possible, I cannot go any higher than $12700.","You can close the deal with my acceptance, thanks.",I understand. Let me see what alternatives we have.
52,1,What are the accommodations in the Mountain Resort?,"This package offers a range of amenities like scenic rides, snowboarding, mountain biking, rock climbing, indoor swimming pool, gourmet dining, and rock climbing, providing lots of adventurous joy and thrilling experiences.","We have a range of rooms and suites, from cozy cabins to luxurious villas."
52,3,What about the transportation facility in Mountain Resort?,"Our package includes a range of amenities such as scenic rides, snowboarding, mountain biking, rock climbing, indoor swimming pool, and gourmet dining.",Shuttle service and car rentals are available.
52,5,"I don't have a snowboard, please add snowboarding gear to the package.","Oh, sorry, there is a problem. After adding the snowboarding gear, the final cost of the package is $20100.","Okay, I've added snowboarding gear to the package."
52,7,"I cannot afford $20100, can you make snowboarding optional?","Yes, snowboarding is optional. It will cost you an additional $2300.","Okay, let's make snowboarding optional."
52,9,"You add this to $16700, now I am okay to go ahead.","Thanks for the deal, it was nice talking with you. Have a nice day.",Great! Let's proceed with the $16700 package then.
53,1,Could you tell me about accommodation in Beach Resort?,"This package is offering accommodation, transportation, meals, and island excursions.","Sure, we have several options."
53,3,How is the price of the package?,The package will cost you $21900.,It starts from $1500 per person.
53,5,"I like to explore scuba, please add Scuba Diving to the package.","Sorry, Sir, after adding Scuba Diving, the package cost is $22900.","Okay, I’ll add scuba diving to the package for an additional $1500."
53,7,"I don't like games, I want to remove a beach game.","It's fine if you don't like beach games, but as an option, we can recommend beachfront lounging for a better budget. The package will cost you $22900.","Okay, I’ll remove the beach game. The package cost will be $21900."
53,9,"Okay, I would like to add Beach Game as an amenity.","Thanks for your consent, we are adding Beach Games as an amenity.","Okay, let's add the Beach Game. The package cost will be $23900."
53,11,Tell the transportation availability in Beach Resort.,"The package is offering services with amenities like Scuba Diving, Beach Games, Jet Skiing, Kids club, Beachfront Lounging, and Scooter rentals.",Round-trip airport transfers are included.
53,13,What kind of meals are included in the Beach Resort?,"This package offers breakfast, lunch, and dinner buffet with a wide selection of both international and local cuisine.","Breakfast, lunch, and dinner are included."
53,15,Does it include 3 meals? Because I don't want to have a tour package including 3 meals.,"No problem, sir, I will change my budget to $22200.","Yes, it includes 3 meals."
53,17,Let's close the deal.,"We??ª?ll have to have a concession, I can offer you the package at $21400.",Great! Let's finalize the booking then.
53,19,"That's too high, can we have a deal for $16900?","Sir, that is a big request. I can sell this package at $20700, but if you lose your job, I won??ª?t be able to honor the commitment.","Certainly, let me check on that for you."
53,21,"Thanks for that offer, but even $17200 is not under my budget.",We cannot give you this deal at such a low rate.,Let's see what we can do. How about $18900?
54,1,"Hello, I'm interested in buying the Adventure Trekking Expedition package. Can you provide me with details about the package and its price?","Hello, the Adventure Trekking Expedition package offers accommodation, transportation, meals, guided treks, camping equipment rental, local guides, hot springs relaxation, cultural village visit, and adventure activities. The package is priced at $17600. It's a great opportunity to experience thrilling adventures and immerse yourself in the beauty of nature.","Certainly! The Adventure Trekking Expedition is a 7-day trek through the Himalayas. The price is $2500 per person, including accommodation, meals, and guide services."
54,3,What type of accommodations are included in the Adventure Trekking Expedition package?,The Adventure Trekking Expedition package includes accommodations.,We provide comfortable camping accommodations with tents and sleeping bags.
54,5,I would like to remove the Adventure activities from the package as I am not interested in participating in them.,"I understand that you want to remove the Adventure activities from the package. As an alternative, I would recommend opting for just the Camping equipment rental, which will lower the price of the tour to $17600. This way, you can still enjoy the accommodation, transportation, meals, and guided treks within your budget.","Okay, I can remove the adventure activities from the package."
54,7,I would like to have local guides included in the package as I would like to have a knowledgeable person show me around the area.,"Absolutely, including local guides in your package is a great idea. The total cost of the tour with this amenity is $19045.","Okay, I've added local guides to the package for you. The price remains at $17600."
54,9,"I understand the value of including local guides in the package, but my budget is fixed at $14330. Is there any way we can work within that budget?","I understand that your budget is fixed at $14330, but considering the value of including local guides, I can offer you this package at $16954.16832224629. Let me know if that works for you.",Let's see... We can adjust the package to fit your budget. How about removing the hot springs relaxation and cultural village visit? This would bring the price down to $14330.
54,11,"I appreciate your understanding, but I'm afraid I cannot go beyond my budget of $14330. Is there any possibility of adjusting the package to fit within my price range?","I understand your budget concerns, but I'm afraid we cannot go below our proposal of $16449.26. However, I can assure you that this package offers excellent value for money and includes several extra perks.",Let's see what we can do. We can remove the hot springs relaxation and cultural village visit to bring the price down to $14330.
54,13,"I appreciate your understanding of my budget concerns. However, I really cannot go beyond my proposed budget of $14330. Is there any possibility for a further reduction or any other way to accommodate my budget?",Thank you for choosing our tour package. Let's proceed with the deal.,Let me explore some options for you. I can remove the hot springs relaxation and cultural village visit to bring the price down to $14330. Would that be acceptable?
55,1,What is included in the meal plan for Cultural Heritage Tour? What are the inclusions for Adventure Trekking Expedition?,"The meal plan for the Cultural Heritage Tour includes three meals a day, consisting of breakfast, lunch, and dinner. The meals will be provided at local restaurants or the accommodation facility. The Adventure Trekking Expedition package includes accommodation, transportation, meals, guided treks, camping equipment rental, local guides, hot springs relaxation, cultural village visit, and adventure activities.",Cultural Heritage Tour: Breakfast is included. Adventure Trekking Expedition: All meals and snacks are included.
55,3,What type of accommodation is included in Adventure Trekking Expedition?,The Adventure Trekking Expedition package includes accommodation options such as camping and possibly staying in local guesthouses or lodges depending on the specific trekking route and location.,Accommodation is provided in comfortable camping tents.
55,5,What are the transportation options available for the Adventure Trekking Expedition package?,The Adventure Trekking Expedition package offers transportation options such as Accommodation Accommodation Accommodation Transportation Transportation Meals Meals Meals Guided Treks Guided Treks Guided Treks.,"Typically, transportation includes a 4x4 vehicle for the trek and flights to/from the starting point."
55,7,Can you provide me with the cost of the tour package please?,The package will cost you $17600?,Please specify which tour package you're interested in – Cultural Heritage Tour or Adventure Trekking Expedition.
55,9,"I don't plan on camping during this tour, so please remove the Camping equipment rental from the package.","I understand that you don't plan on camping during this tour. As an alternative, I can remove the Camping equipment rental from the package. However, please note that without this service, the total cost of the tour package will still be $17600.","Okay, I’ve removed the camping equipment rental."
55,11,"No, I would like to keep the Camping equipment rental in the package.","Thanks for your consent, we will keep the Camping equipment rental in the package.","Okay, let's keep the Camping equipment rental then. The total cost remains $17600."
55,13,"Thank you for considering my budget. However, I was hoping to have the Adventure activities included in the package as well. Is there any way we can make that happen without exceeding my proposed budget of $14496?","Thank you for your feedback. I understand that adventure activities are important to you, and we can make that happen within your budget. I can offer you this package for $16954.17, which includes the adventure activities you mentioned.",Let me check if we can include the adventure activities within your budget.
55,15,"Thank you for considering my feedback. While the offer is closer to my budget, I still cannot go above $14496. Can we explore other options to include the adventure activities within my budget?","Thank you for choosing our tour package. Let's finalize the deal, and I'm excited for you to have a wonderful experience.",Let's explore some alternatives. We can reduce the accommodation to basic guesthouses to lower the cost.
56,1,Could you tell me what does Capture the Moments Photography Tour include?,"The Capture the Moments Photography Tour includes accommodation, transportation, meals, photography workshops, drone photography assistance, post-processing and editing sessions, photography gear rental, review sessions, editing space, and photography exhibition visits.'","It includes a guided photography tour, editing of your photos, and a printed photo album."
56,3,"I am interested in capturing aerial photographs during the tour, so I would like to add Drone Photography Assistance to the package.","Absolutely, adding the amenity Drone Photography Assistance is a great idea. The final tour cost will be $14200.","Okay, let's add Drone Photography Assistance to your package."
56,5,What kind of accommodation is included in the Capture the Moments Photography Tour package?,Accommodation in the Capture the Moments Photography Tour package includes cozy and comfortable stays. The package takes care of your accommodation needs throughout the tour.',We provide luxurious 5-star hotels.
56,7,What meals are included in Capture the Moments Photography Tour?,Meals are included in Capture the Moments Photography Tour. You will be provided with meals throughout your tour.',Meals are included in the package.
56,9,"I appreciate that meals are included in the Capture the Moments Photography Tour. However, my budget for this tour package is $10433.298295733714. Is there any way we can work within that range?","I understand that you have a specific budget for the tour package. However, considering the services and amenities included in the Capture the Moments Photography Tour, it would not be possible to lower the price to $10433.298295733714. The current price is already discounted for the package. If you can increase your budget slightly, we can try to work out a more affordable option for you.",Let me check if we can adjust the package to fit your budget.
56,11,"I appreciate your understanding, but unfortunately, $10722.014756561153 is the maximum amount I can allocate for this tour package. Is there any way we can work out a more affordable option within this budget?",,"Let's see what we can do. With a budget of $10722.014756561153, we can remove the drone photography assistance. The final tour cost would be $9722.014756561153. Would you like to proceed with this revised package?"
56,13,"I'm sorry, but I cannot go above my proposed budget of $10722.014756561153.","I understand your budget constraints, but the services and amenities included in this package are truly exceptional. We can offer you a discounted price of $11500, which is the best we can do without compromising on the quality of the experience.",Let's see what we can do. Could you tell me which aspects of the tour are most important to you?
56,15,"Yes, I would be interested in adding the discounted amenities and services for the price of $11500.","Thanks for your consent, we will add the discounted amenities and services for the price of $11500 to your package.",Great! Let's proceed with booking the Capture the Moments Photography Tour for $11500.
56,17,"I appreciate the offer, but I can only afford $10986.52543518304 for this package. Can we work something out within my budget?","Sir, I would like to recommend the amenity Photography Gear Rental, which will make the tour cost $12215.63. Would you be interested in adding this to your package?",Let's see what we can do. We can remove the drone photography assistance to bring the price down to $10986.52543518304.
56,19,I'm sorry for the confusion. I mean to say that I cannot go over my proposed budget of $10986.52543518304.,I'm glad we could come to an agreement. Thank you for choosing our tour package.,I understand. Let's explore options within your $10986.52543518304 budget. I can remove the Drone Photography Assistance to bring the price down to $10722.014756561153. Would you like me to proceed with that?
57,1,"Hi there, I am interested in purchasing the Adventure Trekking Expedition package. Could you please provide me with information about the package as well as the price?","Hello, the Adventure Trekking Expedition package offers accommodation, transportation, meals, guided treks, camping equipment rental, local guides, hot springs relaxation, cultural village visits, and adventure activities. All of this is included in the package price of $17600.","Certainly! The Adventure Trekking Expedition is a 7-day trek through the Himalayas. The price is $2500 per person, including accommodation, meals, and guide services. Would you like to know more details?"
57,3,What type of accommodation is provided in the Adventure Trekking Expedition package?,The Adventure Trekking Expedition package provides accommodation options such as camping or staying in local lodges or guesthouses.,We provide comfortable camping accommodations with tents and sleeping bags.
57,5,What meals are included in the Adventure Trekking Expedition package?,The Adventure Trekking Expedition package includes meals for the duration of the trip.,All meals are included.
57,7,I would like to have local guides included in the package as I want to have a deeper understanding and knowledge of the places we will be visiting.,"Absolutely, adding the amenity of Local guides will greatly enhance your experience and knowledge of the places you'll be visiting. The final tour cost, including Local guides, is $19100.",Certainly! Local guides are included.
